text,title,cleaned_data
"[Lots of trippy stuff deleted]

Wow...  What is this guy smoking and WHERE can I GET SOME?

Dan",sci.space,lots of trippy stuff deleted wow what is this guy smoking and where can i get some dan
"Hi,
	would someone please email the new AVI file
	format.  I'm sure that many people would 
like to know what it is exactly.

Thank you


Mark Gregory Lecturer m.gregory@rmit.edu.au PH(03)6603243 FAX(03)6621060
Royal Melbourne Institute of Technology,
Department of Communication and Electronic Engineering,
P.O. Box 2476V, Melbourne, Victoria, 3001. AUSTRALIA.",comp.graphics,hi would someone please email the new avi file format i m sure that many people would like to know what it is exactly thank you mark gregory lecturer m gregory rmit edu au ph fax royal melbourne institute of technology department of communication and electronic engineering p o box v melbourne victoria australia
"
Rutin is a bioflavonoid, compounds found (among other places) in the
rinds of citrus fruits.  These have been popular, especially in Europe,
to treat ""capillary fragility"", and seemingly in even more extreme cases--
a few months ago, a friend was visiting from Italy, and he said that he'd
had hemorrhoids, but his pharmacist friend sold him some pills.  Incredulously,
I asked to look at them, and sure enough these contained rutin as the active
ingredient.  I probably destroyed the placebo effect from my skeptical
sputtering.  I have no idea how he's doing hemorrhoid-wise these days.
The studies which attempted to look at the effect of these compounds in
human disease and nutrition were never very well controlled, so the
reports of positive results with them is mostly anecdotal.

This stuff is pretty much non-toxic, and probably inexpensive, so there's
little risk of trying it, but I wouldn't expect much of a result.
",sci.med,rutin is a bioflavonoid compounds found among other places in the rinds of citrus fruits these have been popular especially in europe to treat capillary fragility and seemingly in even more extreme cases a few months ago a friend was visiting from italy and he said that he d had hemorrhoids but his pharmacist friend sold him some pills incredulously i asked to look at them and sure enough these contained rutin as the active ingredient i probably destroyed the placebo effect from my skeptical sputtering i have no idea how he s doing hemorrhoid wise these days the studies which attempted to look at the effect of these compounds in human disease and nutrition were never very well controlled so the reports of positive results with them is mostly anecdotal this stuff is pretty much non toxic and probably inexpensive so there s little risk of trying it but i wouldn t expect much of a result
"McDonnell Douglas rolls out DC-X

        HUNTINGTON BEACH, Calif. -- On a picture-perfect Southern
California day, McDonnell Douglas rolled out its DC-X rocket ship last
Saturday.  The company hopes this single-stage rocket technology
demonstrator will be the first step towards a single-stage-to-orbit (SSTO)
rocket ship.

        The white conical vehicle was scheduled to go to the White Sands
Missile Range in New Mexico this week.  Flight tests will start in
mid-June.

        Although there wasn't a cloud in the noonday sky, the forecast for
SSTO research remains cloudy.  The SDI Organization -- which paid $60
million for the DC-X -- can't itself afford to fund full development of a
follow-on vehicle.  To get the necessary hundreds of millions required for
a sub-orbital DC-XA, SDIO is passing a tin cup among its sister government
agencies.

        SDIO originally funded SSTO research as a way to cut the costs for
orbital deployments of space-based sensors and weapns.  However, recent
changes in SDI's political marching orders and budget cuts have made SSTO
less of a priority.  Today, the agency is more interested in using DC-X as
a step towards a low-cost, reusable sounding rocket.

        SDIO has already done 50 briefings to other government agencies,
said Col.  Simon ""Pete"" Worden, SDIO's deputy for technology.  But Worden
declined to say how much the agencies would have to pony up for the
program. ""I didn't make colonel by telling my contractors how much money I
have available to spend,"" he quipped at a press conference at McDonnell
Douglas Astronautics headquarters.

        While SDIO has lowered its sights on the program's orbital
objective, agency officials hail the DC-X as an example of the ""better,
faster, cheaper"" approach to hardware development.  The agency believes
this philosophy can produce breakthroughs that ""leapfrog"" ahead of
evolutionary technology developments.

        Worden said the DC-X illustrates how a ""build a little, test a
little"" approach can produce results on time and within budget.  He said
the program -- which went from concept to hardware in around 18 months --
showed how today's engineers could move beyond the ""miracles of our
parents' time.""

        ""The key is management,"" Worden said. ""SDIO had a very light hand
on this project.  We had only one overworked major, Jess Sponable.""

        Although the next phase may involve more agencies, Worden said
lean management and a sense of government-industry partnership will be
crucial. ""It's essential we do not end up with a large management
structure where the price goes up exponentially.""

        SDIO's approach also won praise from two California members of the
House Science, Space and Technology Committee. ""This is the direction
we're going to have to go,"" said Rep.  George Brown, the committee's
Democratic chairman. ""Programs that stretch aout 10 to 15 years aren't
sustainable....NASA hasn't learned it yet.  SDIO has.""

        Rep.  Dana Rohrbacher, Brown's Republican colleague, went further.
Joking that ""a shrimp is a fish designed by a NASA design team,""
Rohrbacher doubted that the program ever would have been completed if it
were left to the civil space agency.

        Rohrbacher, whose Orange County district includes McDonnell
Douglas, also criticized NASA-Air Force work on conventional, multi-staged
rockets as placing new casings around old missile technology. ""Let's not
build fancy ammunition with capsules on top.  Let's build a spaceship!""

         Although Rohrbacher praised SDIO's sponsorship, he said the
private sector needs to take the lead in developing SSTO technology.

        McDonnell Douglas, which faces very uncertain prospects with its
C-17 transport and Space Station Freedom programs, were more cautious
about a large private secotro commitment. ""On very large ventures,
companies put in seed money,"" said Charles Ordahl, McDonnell Douglas'
senior vice president for space systems. ""You need strong government
investments.""

        While the government and industry continue to differ on funding
for the DC-XA, they agree on continuing an incremental approach to
development.  Citing corporate history, they liken the process to Douglas
Aircraft's DC aircraft.  Just as two earlier aircraft paved the way for
the DC-3 transport, a gradual evolution in single-stage rocketry could
eventually lead to an orbital Delta Clipper (DC-1).

        Flight tests this summer at White Sands will ""expand the envelope""
of performance, with successive tests increasing speed and altitude.  The
first tests will reach 600 feet and demonstrate hovering, verticle
take-off and landing.  The second series will send the unmanned DC-X up to
5,000 feet.  The third and final series will take the craft up to 20,000
feet.

        Maneuvers will become more complex on third phase.  The final
tests will include a ""pitch-over"" manever that rotates the vehicle back
into a bottom-down configuration for a soft, four-legged landing.

        The flight test series will be supervised by Charles ""Pete""
Conrad, who performed similar maneuvers on the Apollo 12 moon landing.
Now a McDonnell Douglas vice president, Conrad paised the vehicles
aircraft-like approach to operations.  Features include automated
check-out and access panels for easy maintainance.

        If the program moves to the next stage, engine technology will
become a key consideration.  This engine would have more thrust than the
Pratt & Whitney RL10A-5 engines used on the DC-X.  Each motor uses liquid
hydrogen and liquid oxygen propellants to generate up to 14,760 pounds of
thrust

        Based on the engine used in Centaur upper stages, the A-5 model
has a thrust champer designed for sea level operation and three-to-on
throttling capability.  It also is designed for repeat firings and rapid
turnaround.

        Worden said future single-stage rockets could employ
tri-propellant engine technology developed in the former Soviet Union.
The resulting engines could burn a dense hydrocarbon fuel at takeoff and
then switch to liquid hydrogen at higher altitudes.",sci.space,mcdonnell douglas rolls out dc x huntington beach calif on a picture perfect southern california day mcdonnell douglas rolled out its dc x rocket ship last saturday the company hopes this single stage rocket technology demonstrator will be the first step towards a single stage to orbit ssto rocket ship the white conical vehicle was scheduled to go to the white sands missile range in new mexico this week flight tests will start in mid june although there wasn t a cloud in the noonday sky the forecast for ssto research remains cloudy the sdi organization which paid million for the dc x can t itself afford to fund full development of a follow on vehicle to get the necessary hundreds of millions required for a sub orbital dc xa sdio is passing a tin cup among its sister government agencies sdio originally funded ssto research as a way to cut the costs for orbital deployments of space based sensors and weapns however recent changes in sdi s political marching orders and budget cuts have made ssto less of a priority today the agency is more interested in using dc x as a step towards a low cost reusable sounding rocket sdio has already done briefings to other government agencies said col simon pete worden sdio s deputy for technology but worden declined to say how much the agencies would have to pony up for the program i didn t make colonel by telling my contractors how much money i have available to spend he quipped at a press conference at mcdonnell douglas astronautics headquarters while sdio has lowered its sights on the program s orbital objective agency officials hail the dc x as an example of the better faster cheaper approach to hardware development the agency believes this philosophy can produce breakthroughs that leapfrog ahead of evolutionary technology developments worden said the dc x illustrates how a build a little test a little approach can produce results on time and within budget he said the program which went from concept to hardware in around months showed how today s engineers could move beyond the miracles of our parents time the key is management worden said sdio had a very light hand on this project we had only one overworked major jess sponable although the next phase may involve more agencies worden said lean management and a sense of government industry partnership will be crucial it s essential we do not end up with a large management structure where the price goes up exponentially sdio s approach also won praise from two california members of the house science space and technology committee this is the direction we re going to have to go said rep george brown the committee s democratic chairman programs that stretch aout to years aren t sustainable nasa hasn t learned it yet sdio has rep dana rohrbacher brown s republican colleague went further joking that a shrimp is a fish designed by a nasa design team rohrbacher doubted that the program ever would have been completed if it were left to the civil space agency rohrbacher whose orange county district includes mcdonnell douglas also criticized nasa air force work on conventional multi staged rockets as placing new casings around old missile technology let s not build fancy ammunition with capsules on top let s build a spaceship although rohrbacher praised sdio s sponsorship he said the private sector needs to take the lead in developing ssto technology mcdonnell douglas which faces very uncertain prospects with its c transport and space station freedom programs were more cautious about a large private secotro commitment on very large ventures companies put in seed money said charles ordahl mcdonnell douglas senior vice president for space systems you need strong government investments while the government and industry continue to differ on funding for the dc xa they agree on continuing an incremental approach to development citing corporate history they liken the process to douglas aircraft s dc aircraft just as two earlier aircraft paved the way for the dc transport a gradual evolution in single stage rocketry could eventually lead to an orbital delta clipper dc flight tests this summer at white sands will expand the envelope of performance with successive tests increasing speed and altitude the first tests will reach feet and demonstrate hovering verticle take off and landing the second series will send the unmanned dc x up to feet the third and final series will take the craft up to feet maneuvers will become more complex on third phase the final tests will include a pitch over manever that rotates the vehicle back into a bottom down configuration for a soft four legged landing the flight test series will be supervised by charles pete conrad who performed similar maneuvers on the apollo moon landing now a mcdonnell douglas vice president conrad paised the vehicles aircraft like approach to operations features include automated check out and access panels for easy maintainance if the program moves to the next stage engine technology will become a key consideration this engine would have more thrust than the pratt whitney rl a engines used on the dc x each motor uses liquid hydrogen and liquid oxygen propellants to generate up to pounds of thrust based on the engine used in centaur upper stages the a model has a thrust champer designed for sea level operation and three to on throttling capability it also is designed for repeat firings and rapid turnaround worden said future single stage rockets could employ tri propellant engine technology developed in the former soviet union the resulting engines could burn a dense hydrocarbon fuel at takeoff and then switch to liquid hydrogen at higher altitudes
"
This is a lovely area for anecdotes, but I am sure you are on to something.
As a physician, I almost never get sick: usually, when something horrendous
is going around, I either don't get it at all or get a very mild case.
When I do get really sick, it is always something unusual.

This was not the situation when I was in medical school, particularly on
pediatrics. I never had younger siblings myself, and when I went on the
pediatric wards I suddenly found myself confronting all sorts of infectious
challenges that my body was not ready for. Pediatrics for me was three solid
months of illness, and I had a temp of 104 when I took the final exam!

I think what happens is that during training, and beyond, we are constantly
exposed to new things, and we have the usual reactions to them, so that later
on, when challenged with something, it is more likely a re-exposure for us,
so we deal with it well and get a mild illness. I don't think it is that
the immune system is hyped up in any way. Also, don't forget that the
hospital flora is very different from the home, and we carry a lot of that
around.",sci.med,this is a lovely area for anecdotes but i am sure you are on to something as a physician i almost never get sick usually when something horrendous is going around i either don t get it at all or get a very mild case when i do get really sick it is always something unusual this was not the situation when i was in medical school particularly on pediatrics i never had younger siblings myself and when i went on the pediatric wards i suddenly found myself confronting all sorts of infectious challenges that my body was not ready for pediatrics for me was three solid months of illness and i had a temp of when i took the final exam i think what happens is that during training and beyond we are constantly exposed to new things and we have the usual reactions to them so that later on when challenged with something it is more likely a re exposure for us so we deal with it well and get a mild illness i don t think it is that the immune system is hyped up in any way also don t forget that the hospital flora is very different from the home and we carry a lot of that around
": > 	   I'm a commited Christian that is battling with a problem.  I know
: > that romans talks about how we are saved by our faith not our deeds, yet
: > hebrews and james say that faith without deeds is useless, saying' You fools,
: > do you still think that just believing is enough?'
: 
: [Stuff deleted]
:  
: > Now I am of the opinion that you a saved through faith alone (not what you do)
: > as taught in Romans, but how can I square up in my mind the teachings of James
: > in conjunction with the lukewarm Christian being 'spat-out'
: > 
: > Can anyone help me, this really bothers me.
: 

I have received tons of mail from people replying to this article I wrote, and
I would just like to thank everyone who took the time to give me a hand.  It
has indeed helped me and re-affirmed alot of theories that I held but was a
little unsure about.

God bless you all

Will ",soc.religion.christian,i m a commited christian that is battling with a problem i know that romans talks about how we are saved by our faith not our deeds yet hebrews and james say that faith without deeds is useless saying you fools do you still think that just believing is enough stuff deleted now i am of the opinion that you a saved through faith alone not what you do as taught in romans but how can i square up in my mind the teachings of james in conjunction with the lukewarm christian being spat out can anyone help me this really bothers me i have received tons of mail from people replying to this article i wrote and i would just like to thank everyone who took the time to give me a hand it has indeed helped me and re affirmed alot of theories that i held but was a little unsure about god bless you all will
"Nick Haines sez;

Level 5?  Out of how many?  What are the different levels?  I've never
heard of this rating system.  Anyone care to clue me in?

-Tommy Mac
-------------------------------------------------------------------------
Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases,
18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows.",sci.space,nick haines sez level out of how many what are the different levels i ve never heard of this rating system anyone care to clue me in tommy mac tom mcwilliams wk as the radius of vision increases tm ibm cl msu edu hm the circumference of mystery grows
"

Yup.  By the way, what planet are you from, and once you got here, did
you encounter those prejudices against foreign medical graduates?",sci.med,yup by the way what planet are you from and once you got here did you encounter those prejudices against foreign medical graduates
"
To start with, no methodology or form of reasoning is infallible.  So
there's a question of how much certainty we are willing to pay for in a
given context.  Insistence on too much rigor bogs science down completely
and makes progress impossible.  (Expenditure of sufficiently large sums
of money and amounts of time can sometimes overcome this.)  On the other
hand, with too little rigor much is lost by basing work on results which
eventually turn out to be false.  There is a morass of studies
contradicting other studies and outsiders start saying  ""You people call
THIS science?""   (My opinion, for what it's worth, is that one sees both
these phenomena happening simultaneously in some parts of psychology.)  

Some subjective judgement is required to decide on the level of rigor
appropriate for a particular investigation.  I don't believe it is 
ever possible to banish subjective judgement from science.  


My second point, though, is that highly capable people can often make
extremely reliable judgements about scientific validity even when using
methodology considered inadequate by the usual standards.  I think this
is true of many scientists and I think it is true of many who approach
their discipline in a way that is not generally recognized as scientific.

Within mathematics, I think there are several examples, especially before
the twentieth century.  One conspicuous case is that of Riemann, who is
famous for many theorems he stated but did not prove.  (Later 
mathematicians did prove them, of course.)  

I think that for a good scientist, empirical investigation is often not
so much a matter of determining what is true and what's not  as it is a 
matter of convincing other people.  (People have proposed lots of 
incompatible definitions of science here, but I think the ability to 
objectively convince others of the validity of one's results is an
essential element.  Not that one can necessarily do that at every step 
of the scientific process, but I think that if one is not moving toward 
that goal then one is not doing science.)

When a person other than a scientist is quite good at what he does and
seems to be very successful at it, I think that his judgements are also
worthy of respect and that his assertions are well worth further
investigation.  


Admittedly, my question was not at all well posed.  A considerable
amount of effort in a ""serious scholarly investigation"" such as I
suggested would be required simply to formulate an appropriately 
specific question to try and answer.  

The ""science"" I was thinking of in my question is the actual science 
currently practiced now in the last decade of the twentieth century.  
I certainly wasn't thinking of some idealized science or the mere use 
of ""reason and observation.""

One thing I had in mind in my suggestion was the question as to whether
in many cases the subjective judgements of skilled and experienced
practitioners might be more reliable than statistical studies.  

Since Russell Turpin seems to be much more familiar than I am with
the study of scientific methodology, perhaps he can tell us if there 
is any existing research related to this question.  

--
In the arguments between behaviorists and cognitivists, psychology seems 
less like a science than a collection of competing religious sects.   ",sci.med,to start with no methodology or form of reasoning is infallible so there s a question of how much certainty we are willing to pay for in a given context insistence on too much rigor bogs science down completely and makes progress impossible expenditure of sufficiently large sums of money and amounts of time can sometimes overcome this on the other hand with too little rigor much is lost by basing work on results which eventually turn out to be false there is a morass of studies contradicting other studies and outsiders start saying you people call this science my opinion for what it s worth is that one sees both these phenomena happening simultaneously in some parts of psychology some subjective judgement is required to decide on the level of rigor appropriate for a particular investigation i don t believe it is ever possible to banish subjective judgement from science my second point though is that highly capable people can often make extremely reliable judgements about scientific validity even when using methodology considered inadequate by the usual standards i think this is true of many scientists and i think it is true of many who approach their discipline in a way that is not generally recognized as scientific within mathematics i think there are several examples especially before the twentieth century one conspicuous case is that of riemann who is famous for many theorems he stated but did not prove later mathematicians did prove them of course i think that for a good scientist empirical investigation is often not so much a matter of determining what is true and what s not as it is a matter of convincing other people people have proposed lots of incompatible definitions of science here but i think the ability to objectively convince others of the validity of one s results is an essential element not that one can necessarily do that at every step of the scientific process but i think that if one is not moving toward that goal then one is not doing science when a person other than a scientist is quite good at what he does and seems to be very successful at it i think that his judgements are also worthy of respect and that his assertions are well worth further investigation admittedly my question was not at all well posed a considerable amount of effort in a serious scholarly investigation such as i suggested would be required simply to formulate an appropriately specific question to try and answer the science i was thinking of in my question is the actual science currently practiced now in the last decade of the twentieth century i certainly wasn t thinking of some idealized science or the mere use of reason and observation one thing i had in mind in my suggestion was the question as to whether in many cases the subjective judgements of skilled and experienced practitioners might be more reliable than statistical studies since russell turpin seems to be much more familiar than i am with the study of scientific methodology perhaps he can tell us if there is any existing research related to this question in the arguments between behaviorists and cognitivists psychology seems less like a science than a collection of competing religious sects
"I thnik i'll be able to pick up  a piar of Mac 512K's for nothing, but
their power supplies are dead.  Anyone know where I can pick up a pair
of refurbished PS's for cheap (preferably mail order).
Yes, I do have uses planned fior them.  One will be sold to a friend who
just needs a terminal to connect via modem to his e-mail account.
The other will be used by me as a net client to run my downloads and/or
printing.",comp.sys.mac.hardware,i thnik i ll be able to pick up a piar of mac k s for nothing but their power supplies are dead anyone know where i can pick up a pair of refurbished ps s for cheap preferably mail order yes i do have uses planned fior them one will be sold to a friend who just needs a terminal to connect via modem to his e mail account the other will be used by me as a net client to run my downloads and or printing
"Hi, I have been getting a lot of requests for this information so I thought
I would post it for those interested parties. (Sorry for length).

To increase the MacIISi speed to 25MHz or 33MHz the clock must be changed
from 40MHz to 50MHz or 64MHz respectively.
This is done by going to a static-free work station or putting some
aluminum foil down to work on.
	1. Open up the Si by lifting the tabs at the back of the case.
	2. Remove the Hard Disk by disconnecting the power and SCSI cables,
		spreading the tabs, and lifting the drive out.
	3. Remove the flopy drive.
	4. Remove the power supply by spreading the tab in front and lifting
		the supply straight up and out.
	5. Remove the fan by pressing the ears together at the back, bottom
		side of the fan and lifting straight up and out.
	6. Remove the Mother Board by spreading the tabs on the left and
		right side of the board and sliding the board forward then
		lifting the board out. (all connectors on the back of the
		board must be removed first)
	7. Desolder the 40MHz clock (the one closest to the memory modules).
		This is not easy even for a skilled solderer.
	8. Get an IC socket with the round pins and remove four of the pins
		by pushing them up from the bottom with long nose pliers.
	9. Put the four pins in the holes vacated by the clock and solder 
		them in.
	10.Insert a 50MHz or 64MHz clock.
	11.Put large power transistor heat sink's on the processor chip and 
		the other large chip just to the right of the processor and
		figure some way to hold the heat sync's in place. I made a
		simple clamp by putting a four inch screw up through the hole
		in the board between the two chips. Mount the screw using
		insulated washers. Screw a cross member down over the heat
		sync's to hold them in place. Don't use too much pressure.

	12. Put it all back together and go-for-it.

Disclaimer: this is only the procedure I used and is not authorized by anyone.
	    You are on your own for this procedure. I'm quite sure it will
	    void your warentee.",comp.sys.mac.hardware,hi i have been getting a lot of requests for this information so i thought i would post it for those interested parties sorry for length to increase the maciisi speed to mhz or mhz the clock must be changed from mhz to mhz or mhz respectively this is done by going to a static free work station or putting some aluminum foil down to work on open up the si by lifting the tabs at the back of the case remove the hard disk by disconnecting the power and scsi cables spreading the tabs and lifting the drive out remove the flopy drive remove the power supply by spreading the tab in front and lifting the supply straight up and out remove the fan by pressing the ears together at the back bottom side of the fan and lifting straight up and out remove the mother board by spreading the tabs on the left and right side of the board and sliding the board forward then lifting the board out all connectors on the back of the board must be removed first desolder the mhz clock the one closest to the memory modules this is not easy even for a skilled solderer get an ic socket with the round pins and remove four of the pins by pushing them up from the bottom with long nose pliers put the four pins in the holes vacated by the clock and solder them in insert a mhz or mhz clock put large power transistor heat sink s on the processor chip and the other large chip just to the right of the processor and figure some way to hold the heat sync s in place i made a simple clamp by putting a four inch screw up through the hole in the board between the two chips mount the screw using insulated washers screw a cross member down over the heat sync s to hold them in place don t use too much pressure put it all back together and go for it disclaimer this is only the procedure i used and is not authorized by anyone you are on your own for this procedure i m quite sure it will void your warentee
